time,V4,V2,III,I,V6,V1
0.0,0.3262096030247762,-0.03940423559035585,0.11303622474253824,-0.019272881399462732,-0.01919077431193209,0.09583421144183718
0.002,0.2824873985673725,-0.03955953547091686,0.12196157377158191,-0.012404977953873108,-0.01390124313476974,0.10183910021177156
0.004,0.2603980141073244,-0.041336740227647044,0.10825822806289376,-0.015111852770601184,-0.013967625125879929,0.09837602629099744
0.006,0.22542587683196935,-0.030886467342362053,0.08691114530652012,-0.007827594579130777,-0.011745710552796862,0.09853839554197412
0.008,0.19872092018496457,-0.023010580580119382,0.06807545815237372,-0.015361593324824764,-0.0045111818080200575,0.09895764168605634
0.01,0.17050580119912398,-0.013665258289514568,0.09411699395271084,-0.004475790764176303,-0.0015139761765558947,0.09005978315853416
0.012,0.11877534167904827,0.014403746167954836,0.0982804606731767,-0.0154758323932353,-0.004210955677210849,0.09437419208350979
0.014,0.1160775518836407,-0.0013090340265117623,0.05546080222646468,-0.021239160597516453,-0.0029791815236160143,0.10219324680909292
0.016,0.07303238601687745,0.0019697220727302816,0.04842595108025477,-0.02520000833068242,-0.004328851324483563,0.10106205748015998
0.018,0.03582021135578926,-0.011597030158647508,0.0460710839204593,-0.011579878649685146,-0.013888432864619844,0.11069649184301006
0.02,0.022335847451608208,-0.013081070695889171,0.04670444332862189,-0.015838456652954296,-0.01037162410794496,0.110334267186928
0.022,-0.005705598805538282,-0.0077433538949523715,0.06259675260765704,-0.016251575052272347,-0.002574547666685616,0.11067681724787296
0.024,-0.022245039748269392,-0.016545728166680134,0.04719738537917239,-0.014285411287423638,-0.002357219508921247,0.1124574903827915
0.026,-0.030127649293756997,-0.007018913037630393,0.04960526411661582,-0.019337830304791,0.001652289508594829,0.11056986491317748
0.028,-0.043223043546193864,-0.00491645723041046,0.034542406929177955,-0.012172804684788008,-0.000916200819861,0.11212295379982871
0.03,-0.06161810310166255,0.006735303018160768,0.03627840006236919,-0.009327532946085262,-0.005132968340433507,0.10752265228309689
0.032,-0.0847674731718804,0.018118572292618755,0.025138795858860235,-0.0323080071741337,0.002545382861539612,0.1091731092756189
0.034,-0.10657191204687394,0.0171228471498681,0.020618302714677107,-0.03391710284806946,-0.004546721410846044,0.11128241060419226
0.036,-0.11672311042609305,0.007716978543842102,0.02669204959022607,-0.03051089828176575,-0.010764676824405175,0.11069301346047802
0.038,-0.14129536612286434,0.0022391840402883833,0.012161905017551962,-0.03697603716741184,-0.02196664197950563,0.1208303543379657
0.04,-0.14889691986108994,-0.006328795929929869,-0.011026814499586916,-0.03295004199763777,-0.026550395294948653,0.12346899184988747
0.042,-0.1608998683230619,-0.0096690688496926,0.007239915645018194,-0.025561338190940787,-0.027888645148821167,0.12571955560826886
