time,V6,V1,V2,V4,III,V3
0.0,0.5927021494001565,-1.1282242593264946,-0.16893247332227,0.6845366651485222,0.5228092421779735,0.13763702551204585
0.002,0.5927021494001484,-1.1282242593264942,-0.16893247332226854,0.6845366651485308,0.5228092421779736,0.1376370255120511
0.004,0.5927021494001484,-1.128224259326494,-0.1689324733222678,0.6845366651485143,0.5228092421779791,0.13763702551205237
0.006,0.5927021494001484,-1.1282242593264944,-0.1689324733222665,0.6845366651485147,0.5228092421779885,0.13763702551204934
0.008,0.5681552339621083,-1.0535635634893554,-0.11221562669752072,0.6540784031895182,0.5208653571397636,0.11244691593712061
0.01,0.5464443402899923,-0.9926641073671856,-0.06389052367489037,0.6375188114122967,0.5268750991957662,0.09347045004586681
0.012,0.5236834072019856,-0.9333965367783675,-0.01563181917503496,0.6211633406158161,0.533673184846958,0.07459173036511395
0.014,0.5009937847518529,-0.8724718371049109,0.03247797212997672,0.6049595764502654,0.5407343227678512,0.05559965337739689
0.016,0.3752889566785226,-0.7122771535881846,0.07680068507032844,0.5343410636561732,0.4834777348055389,-0.0033581587216923586
0.018,0.26204804769428697,-0.5728844947060161,0.10933244429680569,0.4690598474962936,0.43661565784473677,-0.05067022866823039
0.02,0.14941478931173358,-0.43182023714476464,0.14355348436375426,0.4035520193124099,0.39309880787880097,-0.10003388852122293
0.022,0.03619788776976778,-0.29102633781855913,0.17640540675426794,0.33697017176318544,0.3463290202147568,-0.1467335288342561
0.024,-0.09471162106896512,-0.13628221429658874,0.2360527575389366,0.305493756600563,0.3342902465734741,-0.1987247000580663
0.026,-0.2142927942632064,0.008804328009927491,0.2937576399431143,0.2693320933177712,0.32779840636277036,-0.24206477406679577
0.028,-0.33521860176386614,0.1545166445709306,0.3523320210967428,0.23168512946649958,0.31887581526514064,-0.28896986993166496
0.03,-0.4547456875494079,0.3000631446334279,0.4099140945147915,0.19510952843517382,0.3120921690006742,-0.33212945557874946
0.032,-0.5231908443939025,0.4307525926014674,0.48851511815030174,0.16974370393877644,0.26520080264205576,-0.31737343434598225
0.034,-0.5903690200121416,0.5586613680838118,0.563383213001526,0.14896503078818635,0.232034855685079,-0.2991774425040355
0.036,-0.6577664609516021,0.6865059839008145,0.6388276242681385,0.13064118598785013,0.2024394824372175,-0.28244475877267045
0.038,-0.7249329942140817,0.8146487644200178,0.7139540866892174,0.10936683936380076,0.169063748512987,-0.26288855029332264
0.04,-0.688969601966575,0.9256743727812055,0.6535372683198764,0.06507610372063619,0.24832374987122002,-0.21333030638494307
0.042,-0.6614153712158062,1.0349021123230109,0.5866635888244223,0.020547001352428082,0.3196108535782714,-0.14984768258215891
0.044,-0.6337890816081828,1.1436320230163914,0.5193711180162056,-0.02281956021513965,0.3945078058922603,-0.08870992934930894
0.046,-0.6062639462865446,1.2529137098666265,0.4525892339770458,-0.06715903349962404,0.46648491119866065,-0.025495671500483034
0.048,-0.5683514869580939,1.2828718901076799,0.38316575285359217,-0.06973554372832257,0.4902014743600045,0.004767482746255789
0.05,-0.5337578148859132,1.3029867033253353,0.32194125413930735,-0.06730764075408913,0.5111957527851774,0.04387998421856045
0.052,-0.4983389998181404,1.3234297048406827,0.2614242814825581,-0.06483343581517696,0.5334007569474025,0.0813601763332694
0.054,-0.46255426023278623,1.3439303116008046,0.19952210954077607,-0.061454240167956024,0.554171837606491,0.12023199689119811
0.056,-0.41838161607454655,1.301697644605719,0.08566150890514271,-0.040695239956537926,0.5390953302983583,0.12803743228502606
0.058,-0.38646728367193156,1.2722293136260803,-0.017163014007860643,-0.03208861670670451,0.5125536056117433,0.1259443867293307
0.06,-0.35419329490324014,1.243951403110758,-0.12112415067858595,-0.02427194756821814,0.48714900063509536,0.12294993641758971
0.062,-0.3222820288628869,1.2144502956002643,-0.2239411723887792,-0.015314823704100396,0.46144173567941993,0.12095040890060935
0.064,-0.26154858624167926,1.1264937198579028,-0.35224401079098916,0.017688452274104045,0.5232255703486677,0.06100541267155089
0.066,-0.21272814100481124,1.0513024289169712,-0.47070399242344396,0.03878820551126,0.5749348312654511,-0.008929609156886436
